Description,Accuracy,Precision,Recal,F1-Score,AUC,TN,TP,FN,FP,Experiment config,Model config
BRF1 - On training,0.6731310979799368,0.1132160507257638,0.9964437149500752,0.2033297514548473,0.9918324800029696,330828,21855,78,171183,configuration_93,model_1
BRF2 - On training,0.9955180175693712,0.9999799007095048,0.991055955060656,0.9954979290473616,0.9993686960855952,50200,49752,449,1,configuration_91,model_2
MLP1 - On training,0.709931701764371,0.6861092890660477,0.7739328400682982,0.7273797106100724,0.7823257154324406,22698,27196,7944,12442,configuration_67,model_5
DT1 - On training,0.608511596659185,0.0742992326533647,0.7288560616422742,0.1348517440634358,0.7302840463232678,302840,15986,5947,199171,configuration_93,model_6
DT2 - On training,0.723382004342543,0.7833821894268674,0.617517579331089,0.6906308132734786,0.8053707062093164,41629,31000,19201,8572,configuration_91,model_7
LR - On training,0.7019223428458004,0.0952708284341214,0.7203756896001459,0.1682856169052488,0.7824026306840403,351968,15800,6133,150043,configuration_93,model_8
BNB1 - On training,0.8633747118012612,0.1112207344765484,0.323804313135458,0.1655709423229356,0.72613549666484,445258,7102,14831,56753,configuration_94,model_10
BNB2 - On training,0.8343849724398027,0.1004338287855259,0.3715406009209866,0.1581240116036518,0.7149750100027703,429022,8149,13784,72989,configuration_93,model_10
BRF3 - On training,0.6396332432473699,0.1035958782085694,0.9942096384443532,0.1876398306543213,0.9830917035679216,313326,21806,127,188685,configuration_93_bis,model_1
BRF1 - On heldout,0.6526571024449384,0.0832623430497425,0.6849482023156612,0.1484759420098411,0.7292220817046944,46202,2248,1034,24751,configuration_93,model_1
BRF2 - On heldout,0.9297905300734156,0.1399253731343283,0.1142595978062157,0.1257967125125797,0.714380784189838,68648,375,2907,2305,configuration_91,model_2
MLP1 - On heldout,0.5957432477941672,0.0733077905491698,0.6995734308348568,0.1327090919600023,0.691616210344562,41929,2296,986,29024,configuration_67,model_5
DT1 - On heldout,0.6089849801306662,0.0739698825086877,0.6809872029250457,0.1334447861002477,0.7027113020624162,42973,2235,1047,27980,configuration_93,model_6
DT2 - On heldout,0.7705260321950562,0.0767526312550009,0.3799512492382693,0.1277075119053715,0.6684449034861185,55953,1247,2035,15000,configuration_91,model_7
LR - On heldout,0.71718192227386,0.0848061506727298,0.5511882998171846,0.1469954901881119,0.6982484469961762,51431,1809,1473,19522,configuration_93,model_8
BNB1 - On heldout,0.8571428571428571,0.0904820489878089,0.2464960390006093,0.1323733944203551,0.6913793741963732,62821,809,2473,8132,configuration_94,model_10
BNB2 - On heldout,0.869253047753755,0.0917641077783426,0.2199878123095673,0.1295067264573991,0.6858689245010341,63807,722,2560,7146,configuration_93,model_10
BRF3 - On heldout,0.5747693136660604,0.0730566037735849,0.7373552711761121,0.13294146730024445,0.7073468710432744,40248,2420,862,30705,configuration_93_bis,model_1
